State_x,Year,Annual_Rainfall,Avg_Temperature,State_y,Total_Production,Temp_Level,Avg_Rainfall_State,Rainfall_Deviation,Log_Production
ANDAMAN & NICOBAR ISLANDS,1997,2755.1,29.179166666666664,Andhra Pradesh,21093500.0,High,2890.446050096339,-135.34605009633924,16.86447554152296
ANDAMAN & NICOBAR ISLANDS,1997,2755.1,29.179166666666664,Arunachal Pradesh,267148.0,High,2890.446050096339,-135.34605009633924,12.495561834163489
ANDAMAN & NICOBAR ISLANDS,1997,2755.1,29.179166666666664,Assam,5778334.0,High,2890.446050096339,-135.34605009633924,15.569626136866914
ANDAMAN & NICOBAR ISLANDS,1997,2755.1,29.179166666666664,Bihar,19031372.0,High,2890.446050096339,-135.34605009633924,16.761599385907747
ANDAMAN & NICOBAR ISLANDS,1997,2755.1,29.179166666666664,Goa,72538.0,High,2890.446050096339,-135.34605009633924,11.191879627244216
ANDAMAN & NICOBAR ISLANDS,1997,2755.1,29.179166666666664,Gujarat,27243227.0,High,2890.446050096339,-135.34605009633924,17.120315534427398
ANDAMAN & NICOBAR ISLANDS,1997,2755.1,29.179166666666664,Haryana,20009400.0,High,2890.446050096339,-135.34605009633924,16.81171277107937
ANDAMAN & NICOBAR ISLANDS,1997,2755.1,29.179166666666664,Jammu and Kashmir ,842858.0,High,2890.446050096339,-135.34605009633924,13.644554963208037
ANDAMAN & NICOBAR ISLANDS,1997,2755.1,29.179166666666664,Karnataka,42603496.0,High,2890.446050096339,-135.34605009633924,17.567446897072344
ANDAMAN & NICOBAR ISLANDS,1997,2755.1,29.179166666666664,Kerala,8976476.0,High,2890.446050096339,-135.34605009633924,16.010118047043875
ANDAMAN & NICOBAR ISLANDS,1997,2755.1,29.179166666666664,Madhya Pradesh,17189800.0,High,2890.446050096339,-135.34605009633924,16.65982680079406
ANDAMAN & NICOBAR ISLANDS,1997,2755.1,29.179166666666664,Maharashtra,11641856.0,High,2890.446050096339,-135.34605009633924,16.270117523625512
ANDAMAN & NICOBAR ISLANDS,1997,2755.1,29.179166666666664,Manipur,412.0,High,2890.446050096339,-135.34605009633924,6.023447592961033
ANDAMAN & NICOBAR ISLANDS,1997,2755.1,29.179166666666664,Meghalaya,706814.0,High,2890.446050096339,-135.34605009633924,13.468524241613352
ANDAMAN & NICOBAR ISLANDS,1997,2755.1,29.179166666666664,Mizoram,150914.0,High,2890.446050096339,-135.34605009633924,11.92447204339426
ANDAMAN & NICOBAR ISLANDS,1997,2755.1,29.179166666666664,Nagaland,219580.0,High,2890.446050096339,-135.34605009633924,12.299476463927183
ANDAMAN & NICOBAR ISLANDS,1997,2755.1,29.179166666666664,Odisha,7909968.0,High,2890.446050096339,-135.34605009633924,15.883634420646397
ANDAMAN & NICOBAR ISLANDS,1997,2755.1,29.179166666666664,Punjab,29301700.0,High,2890.446050096339,-135.34605009633924,17.193156126909702
ANDAMAN & NICOBAR ISLANDS,1997,2755.1,29.179166666666664,Rajasthan,18658350.0,High,2890.446050096339,-135.34605009633924,16.74180437863181
ANDAMAN & NICOBAR ISLANDS,1997,2755.1,29.179166666666664,Tamil Nadu,336973821.0,High,2890.446050096339,-135.34605009633924,19.6355158057742
ANDAMAN & NICOBAR ISLANDS,1997,2755.1,29.179166666666664,Telangana ,7492600.0,High,2890.446050096339,-135.34605009633924,15.829426558228912
ANDAMAN & NICOBAR ISLANDS,1997,2755.1,29.179166666666664,Uttar Pradesh,192027165.0,High,2890.446050096339,-135.34605009633924,19.073147409566683
ANDAMAN & NICOBAR ISLANDS,1997,2755.1,29.179166666666664,West Bengal,83041577.0,High,2890.446050096339,-135.34605009633924,18.234851980091474
ANDAMAN & NICOBAR ISLANDS,1998,2846.4,29.65583333333333,Andhra Pradesh,24997600.0,High,2890.446050096339,-44.04605009633906,17.034290418228018
ANDAMAN & NICOBAR ISLANDS,1998,2846.4,29.65583333333333,Arunachal Pradesh,311280.0,High,2890.446050096339,-44.04605009633906,12.648451320195038
ANDAMAN & NICOBAR ISLANDS,1998,2846.4,29.65583333333333,Assam,156721536.0,High,2890.446050096339,-44.04605009633906,18.86998113885211
ANDAMAN & NICOBAR ISLANDS,1998,2846.4,29.65583333333333,Bihar,18859126.0,High,2890.446050096339,-44.04605009633906,16.752507545657096
ANDAMAN & NICOBAR ISLANDS,1998,2846.4,29.65583333333333,Chandigarh,9508.0,High,2890.446050096339,-44.04605009633906,9.159993997539445
ANDAMAN & NICOBAR ISLANDS,1998,2846.4,29.65583333333333,Dadra and Nagar Haveli,220915.0,High,2890.446050096339,-44.04605009633906,12.30553781774945
ANDAMAN & NICOBAR ISLANDS,1998,2846.4,29.65583333333333,Gujarat,35146410.0,High,2890.446050096339,-44.04605009633906,17.37503306574469
ANDAMAN & NICOBAR ISLANDS,1998,2846.4,29.65583333333333,Haryana,20913200.0,High,2890.446050096339,-44.04605009633906,16.85589114433705
ANDAMAN & NICOBAR ISLANDS,1998,2846.4,29.65583333333333,Himachal Pradesh,1486232.0,High,2890.446050096339,-44.04605009633906,14.211755288738365
ANDAMAN & NICOBAR ISLANDS,1998,2846.4,29.65583333333333,Karnataka,15967274.0,High,2890.446050096339,-44.04605009633906,16.58605187319601
ANDAMAN & NICOBAR ISLANDS,1998,2846.4,29.65583333333333,Kerala,5136507483.0,High,2890.446050096339,-44.04605009633906,22.359639207642797
ANDAMAN & NICOBAR ISLANDS,1998,2846.4,29.65583333333333,Madhya Pradesh,21217140.0,High,2890.446050096339,-44.04605009633906,16.870319950687538
ANDAMAN & NICOBAR ISLANDS,1998,2846.4,29.65583333333333,Maharashtra,65148800.0,High,2890.446050096339,-44.04605009633906,17.992184457681972
ANDAMAN & NICOBAR ISLANDS,1998,2846.4,29.65583333333333,Manipur,474050.0,High,2890.446050096339,-44.04605009633906,13.069070189826002
ANDAMAN & NICOBAR ISLANDS,1998,2846.4,29.65583333333333,Meghalaya,709782.0,High,2890.446050096339,-44.04605009633906,13.472714568499152
ANDAMAN & NICOBAR ISLANDS,1998,2846.4,29.65583333333333,Mizoram,157402.0,High,2890.446050096339,-44.04605009633906,11.966564674504264
ANDAMAN & NICOBAR ISLANDS,1998,2846.4,29.65583333333333,Nagaland,295000.0,High,2890.446050096339,-44.04605009633906,12.59473402514672
ANDAMAN & NICOBAR ISLANDS,1998,2846.4,29.65583333333333,Odisha,7308680.0,High,2890.446050096339,-44.04605009633906,15.804573377688612
ANDAMAN & NICOBAR ISLANDS,1998,2846.4,29.65583333333333,Puducherry,311810.0,High,2890.446050096339,-44.04605009633906,12.65015251400854
ANDAMAN & NICOBAR ISLANDS,1998,2846.4,29.65583333333333,Punjab,29710200.0,High,2890.446050096339,-44.04605009633906,17.20700101281476
ANDAMAN & NICOBAR ISLANDS,1998,2846.4,29.65583333333333,Rajasthan,18169480.0,High,2890.446050096339,-44.04605009633906,16.71525387639809
ANDAMAN & NICOBAR ISLANDS,1998,2846.4,29.65583333333333,Sikkim,196737.0,High,2890.446050096339,-44.04605009633906,12.189628173314153
ANDAMAN & NICOBAR ISLANDS,1998,2846.4,29.65583333333333,Tamil Nadu,68007162.0,High,2890.446050096339,-44.04605009633906,18.035123595827994
ANDAMAN & NICOBAR ISLANDS,1998,2846.4,29.65583333333333,Telangana ,11672200.0,High,2890.446050096339,-44.04605009633906,16.27272058973559
ANDAMAN & NICOBAR ISLANDS,1998,2846.4,29.65583333333333,Tripura,582425.0,High,2890.446050096339,-44.04605009633906,13.274957417725293
ANDAMAN & NICOBAR ISLANDS,1998,2846.4,29.65583333333333,Uttar Pradesh,158892871.0,High,2890.446050096339,-44.04605009633906,18.883740772099266
ANDAMAN & NICOBAR ISLANDS,1998,2846.4,29.65583333333333,West Bengal,31326337.4,High,2890.446050096339,-44.04605009633906,17.25996978409065
ANDAMAN & NICOBAR ISLANDS,1999,2699.7,29.80916666666667,Andhra Pradesh,25276766.0,High,2890.446050096339,-190.74605009633933,17.04539623140638
ANDAMAN & NICOBAR ISLANDS,1999,2699.7,29.80916666666667,Arunachal Pradesh,325901.0,High,2890.446050096339,-190.74605009633933,12.694352001658617
